text,sentiment
e commerce alone will add 1 million jobs by 2022 impact theory job losses in hospitality auto n across sectors reality in 2021 prophets of doom r over rated human resilience is underrated,sadness
in delhi education minister (system) is confused for taking decision for school and colleges exams where in maharashtra also declare that all colleges exams is cancelled due to covid 19 _college_students,fear
people awed & wowed for the hailstorm in the ncr last month but nobody questioned it is relevance in a sub tropical state amidst mid spring check only 4 days into the covid 19 lockdown & the air indexâs turned green go figure,enjoyment
more like the trump administration is working hard at mishandling the coronavirus and risking unnecessary lives to be lost from their incompetence is not a president but an impeached idiot president,anger
please help,sadness
it is time to fight against cm in his beautiful and emotional appeal calls us to come together please let us â¦,enjoyment
being on campus today was so depressing coronavirus really killing the vibe,fear
them stop playing games about the corona virus and take it serious me,fear
immediately announce a financial relief package including tax cuts and subsidies for the salaried middle class to end our struggles caused by the covid 19 crisis sign the petition via,sadness
i'm good because i do not give a shit about the coronavirus,anger
eid mubarak excited for the new normal this thursday grimacing_face,enjoyment
why social distancing is crucial to slow the spread of coronavirus,fear
please do lock down everything my housemates going walmart and everywhere for job because they afraid of losing job because of that chances of spread covid 19 is increase,fear
this is so sad actor andrew jack is another victim of the coronavirus â¦,sadness
pls intervene before delhi govt makes history of delhi no 1 in corona â¦,sadness
as my family loves to sing and we recently made this song in this lockdown kg lyra & k361 bt can help us to enhance our setup join /mzhzj1kl2f,enjoyment
the president of mexico mocks the coronavirus pandemic help we need this to be international news,anger
brexit means coronavirus vaccine will be slower to reach the uk everything about is shit,anger
the characteristic of the united states is that you cannot see that others are living a good life so humiliating so do not be like cnn either americaï¼and america we get better to betterï½ twitter com/futpcaxcf7,enjoyment
5/n during difficult times of government may support for students studying in medical colleges (both government & private) as a part of,sadness
read the full article it does not advise against lockdown he said that countries cannot merely lock down themselves to fight the coronavirus outbreak adding that there need to be public health measures to avoid a resurgence of the deadly virus later on very misleading tweet,anger
â¢ prior to the lockdown i did not think i would be doing this regularly let alone complete a 30 day journey merci for the reco and thank you for the guidance red_heart folded_hands_medium-light_skin_tone woman_in_lotus_position â¢ â¢ â¢â¦,enjoyment
acept my condolences for the passing away of ur father mother sister's and brother's do to the inability of ur terorist gvt to provide for them in the covid 19 lockdown,sadness
are useless without people to run them set up boot camp recruit an army of medical students train them quickly send them to the battlefield time is lives,anger
call off the search we have found the stupidest take on the,anger
very much disappointed had been a loyal customer since so long and yet you cannot even promise us good net during lockdown,sadness
sorry i do not give a shit about any of these celebrities who are imposing self quarantine yeah i'd be ok with it too if i had the funds to live inside my 15k sq ft+ home guess they might find a few rooms they have never been in before,anger
utc 7 | in â pune woman makes india's 1st covid 19 testing kit hours before delivering her baby with the arrival of the first made in india testing kit for novel coronavirus in the market another a kit to the nation's health and a baby for herâ¦,enjoyment
the father of the indian media corona virus who is not only making india work for creating a new hole in the world with his fake false indian media â at kapilvastu palace,sadness
the chinese government lied not china as a whole the chinese people were lied to as well and our government lied too i think many governments did _19,anger
celebrating world milk day with our women leaders pic twitter com/ef0sq9vias,enjoyment
'too late' farage criticises open borders while britons locked down in crisis /dimymoj3qx,anger
the only way to protect the lives of millions of pakistanis is by enforcing a lockdown and advocating and facilitating social distancing,enjoyment
my happy place during lockdown,enjoyment
i dont care if ill come off as rude/weird when i bring out my alcohol and suddenly spray it all over my body and the space before me hahaha duh ready nga ako gawin mist ang alcohol spray sana ikaw rin,fear
ww3 fires storms floods coronavirus whats next a heatwave i hope,anger
same here for the past 3 months with kids on summer vacation and lockdown,enjoyment
the panic about coronavirus has become so ridiculous that customers have been stealing the little hand sanitizer bottles off the sales floor counters at my work come the fuck on people,anger
coronavirus is cancelling shit faster than outrage twitter,anger
has cji bobde already allotted 5 acres of land to accommodate corona patients & ruled that jamaat and not bjp govt is responsible for not acting in time despite frequent warnings,sadness
world peace mission corona 21 days lock down stay program barolympic 2020 score card awards and medals ceremony or sponsorship details 12th march of dandi yatra din and 23rd marchâ¦ â¦,enjoyment
sindh govt is fighting with corona for safety of people and federal govt is fighting with sindh govt for face saving,sadness
in impressed by this red_heart,enjoyment
i said it once i'll say it again president trump is protecting us from foreign enemy (coronavirus) and domestic enimies hollywood liberals,anger
there is still time to stay home stay safe see how the corona patient is going to be cremated without the people in the house in which even the man of the house is unable to go so stay home stay safe and your family also gets this dangerous corona epidemic save from,sadness
that is why the coronavirus was created so we can stop talking about politics and start panicking and buying 6372947 rolls of toilet paper,fear
if you need a refresher here are his day by day statements on coronavirus he is either suffering from some sort of brain issue he is downright stupid or he is a bald faced liar i happen to believe it is all of the above pic twitter com/fvlmuntjuo,anger
i got to be honest im terrified of the coronavirus even though it is a low chance of effecting young people im still terrified if you school has not shut down and there is corona around your city/state skip school your life is worth more then a few weeks at school [1/ ],fear
why on earth are you running an ad advising young people to ignore social distancing measures and keep travel plans with some doctor talking about killing *bacteria*,anger
more than one person in told me that life in is pain since decades what if we die because of __19 that so depressed and sad to hear,sadness
i swear to every person who died because of corona that i will not make any new purchases on this eid will only offer prayers and pray to save the world from this epidemic if the world is upset then how can i celebrate happiness #à¤®à¥à¤_à¤¸à¤¿à¤°à¥à¤«_à¤¹à¤¿à¤à¤¦à¥à¤¸à¥à¤¤à¤¾à¤¨à¥_à¤¹à¥à¤,sadness
instagram photography_educator incredible pakistan please note the picture was taken on the way back from gilgit to islamabad before the country wide lock down and wide spread pandemic of corona virusâ¦ â¦,enjoyment
exploring my archives | good hand washing technique must be practiced | hot spring,enjoyment
sars and h1n1 were both more contagious and fatal than the coronavirus and none of this borerline martial law government take over occurred why did it happen this time,fear
almost no water at target because of the coronavirus damn pic twitter com/a2qlgcuh95 â at target,anger
they are not cattles they are someone is heart and soul even if the child does not die once a child is infected their family members are affected too a grandfather who stayed safe till now will now die because his little grandchild must go to school,sadness
âidiots' sen kennedy tears into democrats for blocking coronavirus stimulus bill in fiery speech via,anger
remember when i was really close to having my anxiety shit together and then coronavirus happened,fear
"jake tapper fake news liar trump did *not* say that the government had ""total control"" over the coronavirus trump said ""tremendous control "" which has a very different meaning tremendous indicates that something is great in scale but is not ""total"" or absolute or complete",anger
i have a citi credit card my registered mobile number is 8750863549 i never missed any payment as of now i have taken a loan on my credit card however due to covid 19 issue this month i am unable to pay the statement amount and need some time to pay it please help,sadness
ugh sweating his coronavirus all over the capitol gym gross,fear
the coronavirus is really getting out of hand,anger
ideas elba has coronavirus currently shaking my fist at god,fear
this lockdown is extra harsh on your mental health when you are an overthinker who constantly needs distractions to not feel sad and lonely ) _19,sadness
of late delhi police local intelligence agencies have been found wanting third case in last few months shahhen b delhi riots migrants exodus & latest jehadi corona from nizamuddin delhi agencies on defensive dangerous,sadness
coronavirus is not stopping this,anger
sir we r 4 students stranded/stucked in delhi since lockdown 1 0 & bad luck is not giving up bcoz our booked train has been cancelled today so plz make some arrangement for us we will be grateful to u folded_hands,enjoyment
corbyn has been plotting since the late 1960s by all accounts when corona virus is a distant memory and the country is on more of a stable footing corbyn should be bought to account for 40+ years of subterfuge collaboration with britain's enemies & jew hate,anger
hello june be gentle now let the world heal pic twitter com/qaphisaujn,enjoyment
china is censoring coronavirus stories these citizens are fighting back via,anger
the cholera outbreak in was due to battering the health sector by the us saudi aggression and blockade for 5 years 2919 died until mar 2019 how many would kill if it were able to enter while the blockade is enforced,sadness
are we exporting covid19 to the outer space,anger
19 iran shows good recovery from covid 19 no new cases surfacing now,enjoyment
yeah for real mais soo pousson sortie bi aprÃ¨s koor gui insha allah fekk coronavirus seey aussi,anger
the impact on travel is worse than the 2008 financial crisis and 9/11 combined we need immediate action in the form of economic relief to save the hotel industry and millions of jobs that depend on it,anger
so instead of unlock 1 0 odisha govt has now imposed lockdown 5 0 pic twitter com/huv1nei3u4,sadness
just add 4 zeros for the real number _under_attack,anger
thoughts aur knowledge pe lockdown lagana mushkil hai sign up for 's cinema lectures and you will know how to spell milieu highly recommended adbhut pic twitter com/0p5zzmstbv,enjoyment
i'm about sick and tired of hearing about the coronavirus canceling major events and not letting anybody see there kid play there last game of basketball cause of this stupid coronavirus cannot wait for it to be over so we do not have to hear about it,anger
santi i swear to god if you bring corona virus into my home i will be upset,anger
same here in corona fear,fear
i hope things will get better for you soon it is scary how much the corona virus is affecting everything everyone should not have to worry about not working now,fear
mumbai police will do this if they survive through corona that is,fear
take precautions this flu season and stay informed regarding the novel coronavirus covid 19 wash your hands regularly cover your mouth when you cough or sneeze and stay home if you have a fever and/or are sick learn more about covid 19 at,fear
i've been fucking around about the coronavirus but now there is 3 confirmed cases in my county,anger
"i read some comments on the song latest comments are mostly in korean since the song is titled do not worry this one said ""do not worry in 2020 everyone"" and someone replied ""of course we should worry it is coronavirus"" ã ã ã ã ",fear
it is very disappointing the coronavirus pandemic has been discussed since more than 2 months all publicly available data has shown how different & much more dangerous the corona virus is than the flue & still there arenât enough testing kids for the virus one word incomprence,fear
the coronavirus epidemic is hurting local hotels their communities their employees and the national economy please address this crisis with economic relief for hotels and their workers,fear
there is a power cut in gokulnagar area of rajula taluka of amreli district from 1 a m still going no officer or the complaint number 0279422048 is receiving the call nor responding please look after the complain we even cannot go out of our house because of lockdown,sadness
my dad randomly âwhat do you think boy you think you are going to get this corona virus â me âwhy are you asking â dad âi do not know maybe you will hit the lottery and get the corona virus since you got the swine fluâ nice,fear
hello beautiful handsome and amazing people kindly follow my business page g__store_ god bless you _19 â¦,enjoyment
when you are social distancing and having a good hair day photographer,enjoyment
i live in that solitude which is painful in youth but delicious in the year of maturity unpredictable that is what life is twitter com/zsqf1lnh7p,enjoyment
please open the borders if up govt allows smooth movement for all till now they are also saying that corona is coming to their areas from delhi no one created any issue because of this & only middle class is suffering,sadness
if coronavirus was a person i'd kick its fucking ass i hate coronavirus,fear
beauty of the darknes art by shubh follow _19 ains2,enjoyment
i'm here stuck at kanpur due to lockdown since 19th march and i'm finally eating the most gujarati thing possible to be found in a north city to eat btw this is khaman and everyone calls it dhokla here pic twitter com/bvlnjk91u8,enjoyment
home stay safe,enjoyment
yall people are scared shitliss thinking the reality of life was really what you was living im fucking excited bout this new world we are bout to be living in im loving how the coronavirus is fucking the world up,fear
coronavirus is messing my money up bad $daveyle,fear
coronavirus deaths spanish government warns worst yet to come read more,anger
tribute rip irrfan khan awesome bollywood actor â¦ â¦,sadness
this as we seek forgiveness & mercy of allah let us specially pray for the front liners those affected & families of the ones who have lost their lives in the unimaginable human tragedy _19,sadness
even in this clip he quoting countries whr death are more then 20k and still thr no's of cases report & deaths are much higher then pakistan and they also thinking to ease the lockdown,sadness
you only get a break on your 401k if you withdraw after the bill passes not before coronavirus started fucking things up months ago,anger
why then only mumbai is completely shut as opposed to other cities i m surprised that citizens are not asking tough questions to the maha govt on handling of covid in mumbai but even earlier govts are to blame who did nothing towards health infrastructure of mumbai â¦,sadness
hopefully coronavirus eats away at him slowly and painfully,fear
dear lockdown thank you for making me realise that the biggest mistake of my life has been sacrificing my sleep for another human being,sadness
watching drone on about is sad the fact that no one in the said when closed in january is a crime we missed t he only chance we had to get ahead of this and now people are suffering,sadness
in lockdown people are making it wow ps,enjoyment
ka follow kare ghar me rahe surakshit rahe allah bless you pic twitter com/cpsg4k01f5 â at india,enjoyment
aoc caught exploiting coronavirus panic with disinformation to push socialist agenda on student loans,fear
lucky are those jiska last year tha coronavirus unki umeedo p chan cha laga dia hai kash mera bhi last year hota free me lottery lagti pic twitter com/kd2l6x9nkg,enjoyment
i've actually seen in many articles and news and from multiple sources that if you do have coronavirus ibuprofen and advil 100% make it a lot worse you are probably fine because you dont have the virus but it is dangerous for anyone who does,fear
a man that eat ladies ass hole pussy and all that evil sex satan and corona virus is waiting for you at the hell gate,anger
amid coronavirus panic buying california deputies tell shoppers do not call 911 over line cutting,fear
you all it is the freakin weekend and i'm about to do nothing because it is the responsible thing to do during this pandemic stay safe & practice social distancing,fear
our duty is that to be to of _19india let us win this /wz00vtmikl â at lb nagar,enjoyment
a conspiracy theory tulsi gabbard has not dropped out yet because she in fact invented the coronavirus and is banking on bernie biden and trump dying leaving her as the only remaining candidate and therefore she becomes president by default prove me wrong,anger
death of 20 migrant workers walking hundreds of kilometres to their homes in odisha without food is blood on hands of pm his thoughtless lockdown devastated lives of millions of daily wage earners one feels crushed,sadness
covid 19 mission impossible it is possible still waiting for follow back,sadness
i know you want donald trump voted out of office he has handled this corona virus crisis horribly and has put our lives at danger he cannot handle any crisis and another four years of him would destroy america completely,fear
that concludes our 14 day notice 42 sms location checks and ~10 video interviews doing an amazing job of keeping us safe in folded_hands_medium-light_skin_tone _19 Singapore,enjoyment
corona patients highest in a single day so far in india 316 shame,sadness
thank you ji ji ji for arranging bed at nsci for my friend's dad who was tested covid +ve special thanks to ji for taking follow up until uncle was alloted with bed though it was late night thanks ji for the support,enjoyment
sick since monday Ã© has been tested for and the test came back negative he is believed to have a throat infection it is not sure yet if he will be available for,fear
"be safe stay home red_heart coronavirus cases raised to ""1 million"" as of today fearful_face be safe guys",enjoyment
immediately ban thetabligi jamat the spraderer of corona virus,anger
work from home my job is secure â¦ â¦,sadness
trump's a no show after promising briefing on economic plan amid coronavirus concerns 1583884010 â¦,fear
hey donald hope you not skipping your hcqs meds show them what you are in fact double the dose if you can prove them wrong trump drug hydroxychloroquine raises death risk in covid patients study says,sadness
waiting for this lockdown to end soon so i can meet my best friend via instagrampic twitter com/8awde9c3vq,enjoyment
my mom i swear this coronavirus is something else i went to the nail salon and all the employees had on masks me mom you know they always wear masks right,anger
ok well now they have coronavirus which is entirely different from the flu,fear
breaking a uae research institute has developed a breakthrough treatment for covid 19 which could be a game changer in the global fight against the virus 1/5,fear
mark my words next up on the coronavirus hit list will be anthony weiner mark my damn words,anger
manila eases world's longest lockdown â¦,enjoyment
as we cross 5 million cases 2 million recoveries and 3 33 996 deaths the virus continues to spread adding a 100 00 new cases everyday death toll in lat am and brazil is on the rise still most severe rise in mortality rate was in us uk spain and italy,sadness
they have failed the whole nation yetro 2 mahina lockdown ma rakheko cha gareeb janta lai sakne le ta jasari in bachihalchan janata marna baneko loktantra ho yo and i do not think these neta give two fucks ko bhokai mariracha they are happily living in their bubble,sadness
nsac suspends combat sporting events until march 25 amid coronavirus concerns,anger
song qismat singer kktomar yt channel â¦ to watch go and suscribe in advance song will release after lockdown twitter com/0ti3a2vpbo,enjoyment
with this whole covid thing even birds are taking personal hygiene seriously and washing their feet beaks and wings regularly red whiskered bulbuls enjoy a summer splash in our bird bath next to the firebush treeâ¦ â¦,enjoyment
lockdown time am seeing around people changed attitude & this will bring back humanity humility in the way we go ahead with our life pic twitter com/ypow4vgkr9,enjoyment
you are a useless prime minster of india now you easing the lockdown will make catastrophe,anger
how demonetisation gst & corona lockdown cld hv bn made successful without collateral damage writes biswajit bhattacharya but we prided in shocks &got electrocuted â¦,sadness
to mitigate spread of the coronavirus duke university has suspended on campus labs and classes until further notice,fear
closing the schools cancelling gigs postpone movies telling working ppl to stay at home etc will do absolutely nothing you will get it one way or another the media are blowing coronavirus out of proportion to scare you like fuck offffffff stop ruining everyone is 2020,fear
i suspect in new zealand where mÄori had a death rate 8 times that of non mÄori there was widespread support for a national lockdown at only 100 cases,sadness
how about âa government that provides safety to the people â are you so concerned with stealing $$ that you cannot take legislative action for the virus or are you on vacation i hear there are cheap flights to,anger
vanity fair trump now blaming americans for not getting coronavirus tests that do not exist trump has failed the american people first he blames president obama now he blames the american people for coronavirus a liar who deceives himself via,anger
i feel like my life is flashing by and all i can do is watch and cry i miss the air i miss my friends i miss my mother i miss it when life was a party to be thrown but that was a million years ago #ÙÙØ±ÙÙØ§,sadness
bjp govt started blaming the people for jump in corona cases modj short notice of 4 hours for 100 percent lockdown that lead to migrants walking on streets outsiders standard will govt admit its fault â¦,sadness
sir my family wants to travel to karnataka belgavi from flight should i even now apply for e pass and along a child is of 3 years n 12 months what proof are needed please help me,sadness
fuck the coronavirus and my job i'm too stressed to care atm,anger
_fighting_corona to create a better world pic twitter com/xcigogj1a2,enjoyment
markets crashingbrent wti futures crash 20% over saudi arabia russia oil price war fears & coronavirus concerns,fear
the people today went to the streets of brazil and showed the corrupted congress how powerful we are even the coronavirus disappeared we showed the world we are not afraid tomorrow morning everyone will be working as usual,fear
corona virus killing people out here and dudes still do not wash their hands after a nice pee,fear
one thing in 's favor is that he freaks out over germs he probably never shook a hand without smearing on hand sanitizer trump is misleading his followers who are absorbing his cavalier attitude,fear
how many deaths were the result of the great depression or great recession stress depression suicide overdoses poorer health outcomes all of these deaths should be weighed against coronavirus deaths should they not,fear
health and human services hit with cyber attack aimed at slowing coronavirus response report,fear
govt of india should take decision for all school children to waived off school fees from apr to jun 2020 due to covid 19 for avoiding financial burden in this critical junction of time and moral support as there is nation wide lock down and school remains closed,sadness
the us internationally banned bombs killed too many innocents in & caused chronic diseases to many however us and its agents in the area aim to enter to kill more,sadness
nikki sixx on coronavirus 'dampen down the hysteria',fear
due to the coronavirus i wont be going out you drunk bitches aint coughing on me,anger
can tiktok take action against those who create unresponsibleness between the citizens by creating funny videos on pandemic covid 19,enjoyment
lockdown ride video coming soon traveldiaryindia stay tuned travel diary india on youtube link below subscribe now â¦ india â¦,enjoyment
well in the beginning of the outbreak in china i already suspect that thus virus is a human made the earth population is already out of control someone need to control it that is why they made war in middle east countries with very high birthrate,fear
was speaking to my friends in doha and they told lockdown is one thing which their government has done but people by themselves has stopped going out even all of them are offering prayers at their home only my questions to indian muslims why you cannot follow the same way,sadness
everyone locking there houses seems to be not a solution fight with covid where ever you are do not fear do not lose hopes all above god is doing something miracles daily on our life's,enjoyment
you give me suspect vibes imagine that like why you think about dudes given each other head in the 1st place like are you that gay you think about gay say when you here the corona virus,anger
2020 ncaa tournament games to be played without fans in attendance due to threat of coronavirus via,fear
please allow laws to play online games in telangana it is boring due to lockdown,sadness
why because your buddies are all dying from the coronavirus shut up meat head,anger
ã¼19 whoever gives a shit i'm in eastern europe no one is wearing masks everyone thinks thinks this is the flu they are right,fear
corona fuck you loudly_crying_face loudly_crying_face i want to go here loudly_crying_face,sadness
India india fast spreading but improving rapidly contagion est 0 01% of pop infected peak daily deaths of 310 in 16 days proj death toll 9 849 in ~77 days four_oâclock 16/04 1/4,sadness
lockdown till death,sadness
my brother and i just got into an argument and he going to say âwell i hope you get the corona virusâ like dang bro chillll it was not that serious,anger
yes and pushkin really does not trigger me can avoid duels and dont plan to drink on the streets during,fear
Thailand thailand under control and improving rapidly contagion est 0 01% of pop infected proj death toll 61 in ~22 days four_oâclock 20/04 1/4,sadness
is not this truth never been more stressed frustrated in my all my life more questions than answers being raised right now ã¼19,anger
i was not too nervous about prior to yesterday but these last 2 days have changed me with that said keep washing your hands and stay home if you are sick hoping everyone stays safe,fear
we so happy that shibi was our first customer at samasta today wearing samasta ofcourse we are now officially open after the lockdown samasta has printed dresses and tunics in cool cottons to beat the heat comeâ¦ â¦,enjoyment
2nd covid 19 death reported in j&k toll 30 >> a 72 year old man with comorbities from doda district on monday died of covid 19 at gmc jammu taking the death toll due to the virus to 30 in jammu and kashmir â at rajbagh,sadness
a good service in bad times of corona epidemic,sadness
pennsylvania gov tom wolf orders statewide shutdown over coronavirus via,anger
so sad to hear the passing away of wajid khan bhai due to covid 19 rest in peace folded_hands,sadness
ex obama official warns us health system faces 'tsunami' over coronavirus,fear
i thought i can celebrate both of my favourites on the same week which is raya and harvest festival but sadly due to covid 19 i cant even do shit now haha,sadness
we should do a daily mass test of all citizens in a mid sized town affected by for a full month to get a real time picture of the actual threat level imposed by the coronavirus this is the only way to get an exact understanding of the virus,fear
coroner's officer forcing us to arrange funeral now when transport of body to another country is not possible due to otherwise threatening they will destroy my grandmother's body,fear
how can u be afraid of the corona virus but not an std i'm curious,fear
"""smriti irani missing"" posters come up in amethi in last 1 yr she visited amethi only for a few hours has done nothing for the people during covid19 crisis and instead referred to workers coming back to amethi from different states as ""coronavirus"" /afj4bssibe",sadness
does this data account for unprecedented precautionary measures that have only just started being put place & increased testing (feds & states) coronavirus is not something to be taken lightly but fearmongering is not helpful these numbers reflect worst case scenarios,fear
in gwalior volunteers was sanitising a muslim locality to prevent it from corona virus later people of the muslim community welcomed their gesture and thanked them by applying tilak on their foreheads but for rss is anti muslimpic twitter com/hljkopya7g,enjoyment
how the coronavirus pandemic threatens us national security,fear
woman 39 found dead by boyfriend while waiting for coronavirus test results stop saying flu like illness you make me want to swear its not like the f**king flu wake up stop spreading fake statements seriously get a life,anger
the who is the biggest fake organization to them the us is bad bad bad they want everything to be global control the who is pretty much spreading unfounded fear about,fear
i m indian national n right now stuck in dhaka pls note here i hv lost my job due to covid n living from last 2 months without earning i want to go bk to delhi immediately on special air india flight i hv already registered on hci,sadness
bangkok post headlines on thursday diamond_suit relief cash only covers a month diamond_suit govt mulls easing curfew as cases drop diamond_suit inbound flight ban extended #à¹à¸à¸§à¸´à¸19,sadness
people who wish to visit salons after three months of lockdowns here are guidelines for you all to follow a no person having any symptom of covid 19 like high temperature fever cough cold throat pain difficulty in breathing shall visit these facilities,sadness
honestly is overblown but it did one thing correctly it showed how disgusting humanity is what an embarrassment we are,anger
lock down is causing the shortage of blood for patient i would suggest govt to mobilize the medical staff so they can go to donors for blood of course precautions are must before they go to any donor's,sadness
i appreciate to sonu sir he is doing a good job i want to meet you sir whenever i get a chance thanks,enjoyment
i'm also grateful for my family being blessed with good health in all this health related chaos going around (covid19) folded_hands_light_skin_tone,enjoyment
fresh fruit and veggies in the time of corona delivers thank you for your reliability and consistent supply much appreciate your resilience pic twitter com/qv6bmqmwlb,enjoyment
learn to appreciate what you have before time makes you appreciate what you had i miss my work business dream sad_but_relieved_face frowning_face _fight_covid_19 â¦,sadness
jnu sanitation workers have not been paid for 3 months lockdown and covid 19 crisis has made their lives difficult â¦,sadness
"trump looks to ""reopen"" economy after nyt coronavirus bombshell a close via ty",enjoyment
germany's low coronavirus mortality rate intrigues experts,fear
yall should watch al jazeera bbc and cnn for corona update shit is mad out there,anger
corona warriors great help â¦,enjoyment
_brahmananda_vedic_gurukul_tapobhoomi_goa_batu spreading message through his art not to bring _virus in family by going out of home & violating rules laid down by govt _durgesh_art_goa /lvrodcfa0n,sadness
honourable pm modi ji i recently opened two branches for iit/ medical students who belong to a very poor family i'm not going to take any pending amounts from them because of lockdown you r idle for me sir take care /twrrpvng9n â at techweb centre,sadness
a nation where over two crores people eat gutka knowing that it will kill you with cancer sooner or later corona they could not see so they are not threatened mullahs & allamas have done grand job taking the scare out of people but they forget history of spain with simmilar virus,fear
show this to muslim hate mongers muslims are in forefront in fighting corona pandemic madrassas & mosques are given for corona centres,anger
@ studyabroadstudents raise your hand if you feel personally victimized by coronavirus bc i feel extremely personally victimized,anger
"scomo has early dementia ' encouraging a policy of âsocial distancingâ amongst children where they stay 1 5 metres apart from each other at school "" 'shut us down ' aussies rage at pms coronavirus update # m4crs â¦ via",anger
so u want the corona to kill what is left in case ur not seeing the news europe countries r stealing medical supplies shipments from each other face_with_rolling_eyes,sadness
this is urgent tell to stop forcing their drivers to work sick,anger
around 18500 patients world over recovered from covid 19 and around 155 patients recovered in india let us focus on positivity,enjoyment
a trauma informed approach to teaching through coronavirus,fear
god bless you and your kids we will pray for you fight fight we have to finish coronavirus at any cost which is finishing us save each life is important for you,enjoyment
ã»ã» in line with an easing of some covid 19 restrictions by the authorities we are pleased to say that we are ready to welcome you back to the club and we are set to open a number of ourâ¦ â¦,enjoyment
i hate china after corona virus,anger
"dt lied yet again ""we have a problem that a month ago nobody ever thought about "" many reporters & others like warned them all of the dangers of the outbreak of op ed written 2 months ago via",fear
kids these days are much better informed than many adults here's my niece doing her thing in lockdown time _19india pic twitter com/prfbbx5frc,enjoyment
dear the world economy will not return to normal until your country realizes this epidemic is deadly please lockdown to stop the spread we want our lives back,sadness
if we did not name the corona virus people would just think it is just a bad flu season,fear
i'm an nhs doctor treating coronavirus â you have no idea how bad things could get,fear
d's figures are for real and they speak the truth on behalf of the stupidity of intellectuals doctors paramedic are giving away their lives but some do not understand the pain they want to spread this pandemic and be called a child of god shame pic twitter com/a9u079hznr,sadness
respected cm sir as the corona graph is inclining kindly consider 100 %lockdown except healthcare on 5 6 10 11 & 12th april to create a small vaccum in corona spread in tn as people are uncooperative without realising the seriousness of next impact,enjoyment
recovery rate 43 % death rate 3 37% death 40 9 /dfgytjikz0,sadness
fda chief warns of supply 'pressure' on reagents for coronavirus tests | medtech dive,anger
lavanders towns lakes we and supernova of love again beach seaside breezes we and waves of livelihood again clouds sunsets chaos we and poems of partners again smiles sorrow hills silhouette we and verses of life again copyright ritbik,enjoyment
came across this wonderful piece of writing lucidly described beautifully compared /ujox2tvkxh,enjoyment
oh hell no âcould be included in the senate's coronavirus rescue bills significantly boost the number of visas offered annually from 10 000 to 75 000 while halving the investment required to earn legal residence from $900 000 to $450 000â we will vote you out,anger
corona virus is the new 9/11 a false flag excuse to chop away at our freedoms pic twitter com/k77f7iedsa,anger
has the lockdown already failed the migrant labourer and now markaz â¦,sadness
what if bernie released coronavirus to scare biden's supporters from going out and voting old people are voting for biden old people can die easier from coronavirus bernies supporters are stupid young kids will not die to corona,fear
you should maybe get tested for coronavirus with that coughâ¦,fear
28 days from now i am planning to be on the 2nd day of my planned driving trip to the â¦â© driving from roseburg oregon to stockton california at this point no reason to cancel trip due to coronavirus concerns but definitely monitoring the situation pic twitter com/gvooq6g4bv,fear
quite worrisome india reports 230 deaths and 8392 new cases of corona virus in last 24 hrs in total 190535 cases 5394 deaths 91819 recovered _19,sadness
_ko_harana_hai _stay_home _luck_down _fight_corona _watch_&_share _comment_us _motivation _ _opinion _somnath_gope pic twitter com/jku7j6oyw3,enjoyment
hypocricy reloaded modi saying sorry to poor for taking strict action amidst corona crisis our champ mamidala blocked their salaries for three months,sadness
the dems are saying president trump's handling of the coronavirus is incompetent and too little after it passes without great harm he will be accused of over reacting like everything else the dems accuse him of this too will backfire as the economy bounces back,anger
waiting in line for groceries at heb w/a dozen others behind and in front of me and i'm the only one wearing a is real,fear
if you strongly disagree just sign the below petition,anger
sir please draw your attention towards the bad condition of dayal sar road and pending work of sewage and water pipe line which is on hold since long due to lockdown,sadness
"you guys need to stop regurgitating the same dumb ""cnn"" talking point cnn did not invent that the dow jones had the largest point drop in history today cnn did not invent the lack of testing or your dear leader lying on 2/26 that the coronavirus was going to go to zero in days",anger
indian profs lawyers social workers issue statement against communalisation of covid 19 the signatories say that there were many other gatherings around that time but the tablighi jamaat event is getting communalized to further islamophobia,sadness
if we can close down or postpone everything in the states if the stores can be drained of everyday items why cannot and take care of the fricking homeless situation in ca by quitting the screwing of the californians there is more than coronavirus,anger
government needs to revamp administration & focus of nii niv and others to prioritise research for covid type of diseases india needs to prepare for it on war footing to ward of new threat type,fear
think tank complains âcoronavirus is killing globalization as we know itâ,anger
leave everything from bottom of ur heart say if situation then was so emergent that 4hrs notice lockdown was essential was it not priority of captain(pm) 2 consult state cms doers give some time 4 ppl 2 digest & then implement lockdown more efficiently instead of what was done,sadness
india has lost another gem today the biggest and finest music composer of bollywood sir has passed away due to covid 19 may allah swt rest soul in peace aameen twitter com/djhiea37au,sadness
"""lmao italy is on lockdown trump is right about not worrying about the coronavirus"" idk bro i guess we are just going to get cured for free but please flex on us the fact that you spend money to get in an ambulance",fear
âcoronavirus forecasts are grim âit's going to get worse'â â¦â©,fear
and the â effect' increased exposure to poses health biosafety and global security risks,fear
amazing descriptive sketch _19 â¦,enjoyment
still obsessed are corona is there beware,sadness
what a project in corona time this will detect your mask properly and monitor you you can not cheat with camera,enjoyment
high risk the scope of shelby county residents who could need severe coronavirus care ~/620115610/0/memphis/home~high risk the scope of shelby county residents who could need severe coronavirus care/ â¦,fear
hello i'm in because from lockdown so plz help me i'm hyderabad plz pensive_face pensive_face crying_face crying_face folded_hands folded_hands,sadness
noida today _19,enjoyment
